,class,in_file,out_file,x_min,y_min,x_max,y_max,x_center,y_center,width,height,class_id
1,briefcase,./Data/briefcase/10.jpg,./Data/briefcase/10.png,0.20535714285714285,0.12053571428571429,0.7767857142857143,0.8928571428571429,0.4910714285714286,0.5066964285714286,0.5714285714285714,0.7723214285714286,1
2,briefcase,./Data/briefcase/6.jpg,./Data/briefcase/6.png,0.41964285714285715,0.13392857142857142,0.5446428571428571,0.3794642857142857,0.4821428571428571,0.25669642857142855,0.12499999999999994,0.24553571428571427,1
3,briefcase,./Data/briefcase/7.jpg,./Data/briefcase/7.png,0.049107142857142856,0.11160714285714286,0.8794642857142857,0.7901785714285714,0.4642857142857143,0.45089285714285715,0.8303571428571428,0.6785714285714285,1
4,briefcase,./Data/briefcase/3.jpg,./Data/briefcase/3.png,0.17410714285714285,0.10267857142857142,0.8348214285714286,0.9196428571428571,0.5044642857142857,0.5111607142857143,0.6607142857142858,0.8169642857142857,1
5,briefcase,./Data/briefcase/1.jpg,./Data/briefcase/1.png,0.09821428571428571,0.013392857142857142,0.9151785714285714,0.9151785714285714,0.5066964285714286,0.46428571428571425,0.8169642857142857,0.9017857142857143,1
6,briefcase,./Data/briefcase/2.jpg,./Data/briefcase/2.png,0.24107142857142858,0.16517857142857142,0.7366071428571429,0.9419642857142857,0.48883928571428575,0.5535714285714286,0.4955357142857143,0.7767857142857143,1
7,briefcase,./Data/briefcase/8.jpg,./Data/briefcase/8.png,0.27232142857142855,0.1875,0.9285714285714286,0.9464285714285714,0.6004464285714286,0.5669642857142857,0.65625,0.7589285714285714,1
8,briefcase,./Data/briefcase/9.jpg,./Data/briefcase/9.png,0.11607142857142858,0.16071428571428573,0.8928571428571429,0.8973214285714286,0.5044642857142857,0.5290178571428572,0.7767857142857143,0.7366071428571429,1
9,briefcase,./Data/briefcase/5.jpg,./Data/briefcase/5.png,0.049107142857142856,0.05357142857142857,0.875,0.9955357142857143,0.46205357142857145,0.5245535714285714,0.8258928571428571,0.9419642857142857,1
0,pillow,./Data/pillow/4.jpg,./Data/pillow/4.png,0.0,0.09821428571428571,0.9955357142857143,0.9955357142857143,0.49776785714285715,0.546875,0.9955357142857143,0.8973214285714286,2
1,pillow,./Data/pillow/10.jpg,./Data/pillow/10.png,0.07589285714285714,0.34375,0.9508928571428571,0.9017857142857143,0.5133928571428571,0.6227678571428572,0.875,0.5580357142857143,2
2,pillow,./Data/pillow/6.jpg,./Data/pillow/6.png,0.0,0.40625,0.9776785714285714,0.9955357142857143,0.4888392857142857,0.7008928571428572,0.9776785714285714,0.5892857142857143,2
3,pillow,./Data/pillow/7.jpg,./Data/pillow/7.png,0.07142857142857142,0.21875,0.8705357142857143,0.8392857142857143,0.47098214285714285,0.5290178571428572,0.7991071428571429,0.6205357142857143,2
4,pillow,./Data/pillow/3.jpg,./Data/pillow/3.png,0.5491071428571429,0.45089285714285715,0.8839285714285714,0.8526785714285714,0.7165178571428572,0.6517857142857143,0.3348214285714285,0.40178571428571425,2
5,pillow,./Data/pillow/1.jpg,./Data/pillow/1.png,0.0,0.10267857142857142,0.9910714285714286,0.9955357142857143,0.4955357142857143,0.5491071428571429,0.9910714285714286,0.8928571428571429,2
6,pillow,./Data/pillow/2.jpg,./Data/pillow/2.png,0.12053571428571429,0.19642857142857142,0.9107142857142857,0.7991071428571429,0.515625,0.49776785714285715,0.7901785714285714,0.6026785714285715,2
7,pillow,./Data/pillow/8.jpg,./Data/pillow/8.png,0.09821428571428571,0.10267857142857142,0.8616071428571429,0.9464285714285714,0.4799107142857143,0.5245535714285714,0.7633928571428572,0.84375,2
8,pillow,./Data/pillow/9.jpg,./Data/pillow/9.png,0.16964285714285715,0.32589285714285715,0.7767857142857143,0.8794642857142857,0.4732142857142857,0.6026785714285714,0.6071428571428572,0.5535714285714286,2
9,pillow,./Data/pillow/5.jpg,./Data/pillow/5.png,0.0625,0.44642857142857145,0.9330357142857143,0.8973214285714286,0.49776785714285715,0.671875,0.8705357142857143,0.45089285714285715,2
0,window_shade,./Data/window_shade/4.jpg,./Data/window_shade/4.png,0.08482142857142858,0.06696428571428571,0.9508928571428571,0.9732142857142857,0.5178571428571428,0.5200892857142857,0.8660714285714285,0.90625,3
1,window_shade,./Data/window_shade/10.jpg,./Data/window_shade/10.png,0.17410714285714285,0.03125,0.8125,0.8794642857142857,0.4933035714285714,0.45535714285714285,0.6383928571428572,0.8482142857142857,3
2,window_shade,./Data/window_shade/6.jpg,./Data/window_shade/6.png,0.08928571428571429,0.08928571428571429,0.90625,0.8348214285714286,0.49776785714285715,0.46205357142857145,0.8169642857142857,0.7455357142857143,3
3,window_shade,./Data/window_shade/7.jpg,./Data/window_shade/7.png,0.13392857142857142,0.2767857142857143,0.9017857142857143,0.8705357142857143,0.5178571428571429,0.5736607142857143,0.7678571428571429,0.59375,3
4,window_shade,./Data/window_shade/3.jpg,./Data/window_shade/3.png,0.09375,0.049107142857142856,0.8705357142857143,0.8839285714285714,0.48214285714285715,0.46651785714285715,0.7767857142857143,0.8348214285714285,3
5,window_shade,./Data/window_shade/1.jpg,./Data/window_shade/1.png,0.017857142857142856,0.03125,0.9732142857142857,0.9598214285714286,0.4955357142857143,0.4955357142857143,0.9553571428571428,0.9285714285714286,3
6,window_shade,./Data/window_shade/2.jpg,./Data/window_shade/2.png,0.15625,0.05357142857142857,0.7276785714285714,0.96875,0.4419642857142857,0.5111607142857143,0.5714285714285714,0.9151785714285714,3
7,window_shade,./Data/window_shade/8.jpg,./Data/window_shade/8.png,0.07142857142857142,0.07589285714285714,0.9196428571428571,0.9196428571428571,0.49553571428571425,0.4977678571428571,0.8482142857142857,0.84375,3
8,window_shade,./Data/window_shade/9.jpg,./Data/window_shade/9.png,0.11160714285714286,0.35267857142857145,0.7991071428571429,0.8392857142857143,0.4553571428571429,0.5959821428571429,0.6875,0.48660714285714285,3
9,window_shade,./Data/window_shade/5.jpg,./Data/window_shade/5.png,0.20089285714285715,0.0,0.9955357142857143,0.65625,0.5982142857142857,0.328125,0.7946428571428572,0.65625,3
0,arrow,./Data/arrow/4.jpg,./Data/arrow/4.png,0.07589285714285714,0.4107142857142857,0.8973214285714286,0.8258928571428571,0.48660714285714285,0.6183035714285714,0.8214285714285715,0.4151785714285714,4
1,arrow,./Data/arrow/10.jpg,./Data/arrow/10.png,0.09821428571428571,0.23214285714285715,0.8705357142857143,0.8035714285714286,0.484375,0.5178571428571429,0.7723214285714286,0.5714285714285714,4
2,arrow,./Data/arrow/6.jpg,./Data/arrow/6.png,0.27232142857142855,0.28125,0.7232142857142857,0.7321428571428571,0.4977678571428571,0.5066964285714286,0.45089285714285715,0.4508928571428571,4
3,arrow,./Data/arrow/7.jpg,./Data/arrow/7.png,0.08928571428571429,0.11607142857142858,0.9196428571428571,0.8080357142857143,0.5044642857142857,0.46205357142857145,0.8303571428571428,0.6919642857142857,4
4,arrow,./Data/arrow/3.jpg,./Data/arrow/3.png,0.3169642857142857,0.21428571428571427,0.6830357142857143,0.78125,0.5,0.49776785714285715,0.3660714285714286,0.5669642857142857,4
5,arrow,./Data/arrow/1.jpg,./Data/arrow/1.png,0.15178571428571427,0.32589285714285715,0.8392857142857143,0.6696428571428571,0.4955357142857143,0.4977678571428571,0.6875,0.34374999999999994,4
6,arrow,./Data/arrow/2.jpg,./Data/arrow/2.png,0.03125,0.32589285714285715,0.9464285714285714,0.7767857142857143,0.4888392857142857,0.5513392857142857,0.9151785714285714,0.45089285714285715,4
7,arrow,./Data/arrow/8.jpg,./Data/arrow/8.png,0.12053571428571429,0.017857142857142856,0.8839285714285714,0.9821428571428571,0.5022321428571428,0.5,0.7633928571428571,0.9642857142857142,4
8,arrow,./Data/arrow/9.jpg,./Data/arrow/9.png,0.07589285714285714,0.22321428571428573,0.8526785714285714,0.75,0.46428571428571425,0.48660714285714285,0.7767857142857143,0.5267857142857143,4
9,arrow,./Data/arrow/5.jpg,./Data/arrow/5.png,0.22321428571428573,0.125,0.7767857142857143,0.8258928571428571,0.5,0.47544642857142855,0.5535714285714286,0.7008928571428571,4
0,mooncake,./Data/mooncake/4.jpg,./Data/mooncake/4.png,0.32589285714285715,0.3392857142857143,0.8794642857142857,0.9196428571428571,0.6026785714285714,0.6294642857142857,0.5535714285714286,0.5803571428571428,5
1,mooncake,./Data/mooncake/10.jpg,./Data/mooncake/10.png,0.3794642857142857,0.34375,0.6383928571428571,0.75,0.5089285714285714,0.546875,0.2589285714285714,0.40625,5
2,mooncake,./Data/mooncake/6.jpg,./Data/mooncake/6.png,0.17857142857142858,0.09821428571428571,0.7232142857142857,0.7901785714285714,0.45089285714285715,0.44419642857142855,0.5446428571428571,0.6919642857142857,5
3,mooncake,./Data/mooncake/7.jpg,./Data/mooncake/7.png,0.2857142857142857,0.11160714285714286,0.65625,0.5625,0.47098214285714285,0.33705357142857145,0.3705357142857143,0.45089285714285715,5
4,mooncake,./Data/mooncake/3.jpg,./Data/mooncake/3.png,0.33482142857142855,0.3705357142857143,0.75,0.8080357142857143,0.5424107142857143,0.5892857142857143,0.41517857142857145,0.4375,5
5,mooncake,./Data/mooncake/1.jpg,./Data/mooncake/1.png,0.044642857142857144,0.08035714285714286,0.9955357142857143,0.8571428571428571,0.5200892857142857,0.46875,0.9508928571428572,0.7767857142857142,5
6,mooncake,./Data/mooncake/2.jpg,./Data/mooncake/2.png,0.10714285714285714,0.20982142857142858,0.8125,0.7991071428571429,0.45982142857142855,0.5044642857142857,0.7053571428571429,0.5892857142857143,5
7,mooncake,./Data/mooncake/8.jpg,./Data/mooncake/8.png,0.26339285714285715,0.21875,0.9285714285714286,0.8169642857142857,0.5959821428571429,0.5178571428571428,0.6651785714285714,0.5982142857142857,5
8,mooncake,./Data/mooncake/9.jpg,./Data/mooncake/9.png,0.20982142857142858,0.12946428571428573,0.7633928571428571,0.84375,0.48660714285714285,0.48660714285714285,0.5535714285714285,0.7142857142857143,5
9,mooncake,./Data/mooncake/5.jpg,./Data/mooncake/5.png,0.4419642857142857,0.23214285714285715,0.8303571428571429,0.8348214285714286,0.6361607142857143,0.5334821428571429,0.3883928571428572,0.6026785714285714,5
0,watermelon,./Data/watermelon/4.jpg,./Data/watermelon/4.png,0.004464285714285714,0.13839285714285715,0.9776785714285714,0.9821428571428571,0.49107142857142855,0.5602678571428571,0.9732142857142857,0.84375,6
1,watermelon,./Data/watermelon/10.jpg,./Data/watermelon/10.png,0.0,0.27232142857142855,0.6160714285714286,0.8794642857142857,0.3080357142857143,0.5758928571428571,0.6160714285714286,0.6071428571428572,6
2,watermelon,./Data/watermelon/6.jpg,./Data/watermelon/6.png,0.16071428571428573,0.07142857142857142,0.8125,0.6294642857142857,0.48660714285714285,0.35044642857142855,0.6517857142857143,0.5580357142857143,6
3,watermelon,./Data/watermelon/7.jpg,./Data/watermelon/7.png,0.2544642857142857,0.5401785714285714,0.5491071428571429,0.8839285714285714,0.4017857142857143,0.7120535714285714,0.2946428571428572,0.34375,6
4,watermelon,./Data/watermelon/3.jpg,./Data/watermelon/3.png,0.044642857142857144,0.19196428571428573,0.96875,0.9642857142857143,0.5066964285714286,0.578125,0.9241071428571429,0.7723214285714286,6
5,watermelon,./Data/watermelon/1.jpg,./Data/watermelon/1.png,0.05803571428571429,0.23660714285714285,0.9241071428571429,0.71875,0.4910714285714286,0.4776785714285714,0.8660714285714286,0.48214285714285715,6
6,watermelon,./Data/watermelon/2.jpg,./Data/watermelon/2.png,0.15178571428571427,0.13839285714285715,0.7366071428571429,0.9508928571428571,0.4441964285714286,0.5446428571428571,0.5848214285714286,0.8125,6
7,watermelon,./Data/watermelon/8.jpg,./Data/watermelon/8.png,0.23660714285714285,0.4419642857142857,0.7276785714285714,0.8660714285714286,0.4821428571428571,0.6540178571428572,0.49107142857142855,0.4241071428571429,6
8,watermelon,./Data/watermelon/9.jpg,./Data/watermelon/9.png,0.42857142857142855,0.33482142857142855,0.7946428571428571,0.6607142857142857,0.6116071428571428,0.4977678571428571,0.36607142857142855,0.32589285714285715,6
9,watermelon,./Data/watermelon/5.jpg,./Data/watermelon/5.png,0.16964285714285715,0.125,0.7410714285714286,0.8526785714285714,0.4553571428571429,0.4888392857142857,0.5714285714285714,0.7276785714285714,6
0,vase,./Data/vase/4.jpg,./Data/vase/4.png,0.22321428571428573,0.4642857142857143,0.7455357142857143,0.9330357142857143,0.484375,0.6986607142857143,0.5223214285714286,0.46875,7
1,vase,./Data/vase/10.jpg,./Data/vase/10.png,0.23214285714285715,0.026785714285714284,0.7098214285714286,0.9821428571428571,0.4709821428571429,0.5044642857142857,0.47767857142857145,0.9553571428571428,7
2,vase,./Data/vase/6.jpg,./Data/vase/6.png,0.29910714285714285,0.03125,0.7053571428571429,0.9821428571428571,0.5022321428571429,0.5066964285714286,0.40625000000000006,0.9508928571428571,7
3,vase,./Data/vase/7.jpg,./Data/vase/7.png,0.125,0.13392857142857142,0.875,0.9241071428571429,0.5,0.5290178571428572,0.75,0.7901785714285715,7
4,vase,./Data/vase/3.jpg,./Data/vase/3.png,0.1875,0.07142857142857142,0.8080357142857143,0.9196428571428571,0.49776785714285715,0.49553571428571425,0.6205357142857143,0.8482142857142857,7
5,vase,./Data/vase/1.jpg,./Data/vase/1.png,0.20089285714285715,0.12053571428571429,0.7589285714285714,0.8794642857142857,0.4799107142857143,0.5,0.5580357142857142,0.7589285714285714,7
6,vase,./Data/vase/2.jpg,./Data/vase/2.png,0.16517857142857142,0.40625,0.8482142857142857,0.8973214285714286,0.5066964285714286,0.6517857142857143,0.6830357142857143,0.4910714285714286,7
7,vase,./Data/vase/8.jpg,./Data/vase/8.png,0.36607142857142855,0.36160714285714285,0.78125,0.7857142857142857,0.5736607142857143,0.5736607142857143,0.41517857142857145,0.42410714285714285,7
8,vase,./Data/vase/9.jpg,./Data/vase/9.png,0.22767857142857142,0.42857142857142855,0.78125,0.96875,0.5044642857142857,0.6986607142857143,0.5535714285714286,0.5401785714285714,7
9,vase,./Data/vase/5.jpg,./Data/vase/5.png,0.10267857142857142,0.29910714285714285,0.9107142857142857,0.8705357142857143,0.5066964285714286,0.5848214285714286,0.8080357142857143,0.5714285714285714,7
0,hornbill,./Data/hornbill/4.jpg,./Data/hornbill/4.png,0.05803571428571429,0.26785714285714285,0.8482142857142857,0.8214285714285714,0.453125,0.5446428571428571,0.7901785714285714,0.5535714285714286,8
1,hornbill,./Data/hornbill/10.jpg,./Data/hornbill/10.png,0.12053571428571429,0.10714285714285714,0.6339285714285714,0.9955357142857143,0.37723214285714285,0.5513392857142857,0.5133928571428571,0.8883928571428572,8
2,hornbill,./Data/hornbill/6.jpg,./Data/hornbill/6.png,0.20535714285714285,0.07589285714285714,0.8482142857142857,0.9464285714285714,0.5267857142857143,0.5111607142857143,0.6428571428571428,0.8705357142857143,8
3,hornbill,./Data/hornbill/7.jpg,./Data/hornbill/7.png,0.26339285714285715,0.10267857142857142,0.8214285714285714,0.9151785714285714,0.5424107142857143,0.5089285714285714,0.5580357142857142,0.8125,8
4,hornbill,./Data/hornbill/3.jpg,./Data/hornbill/3.png,0.05357142857142857,0.12946428571428573,0.8169642857142857,0.9955357142857143,0.43526785714285715,0.5625,0.7633928571428571,0.8660714285714286,8
5,hornbill,./Data/hornbill/1.jpg,./Data/hornbill/1.png,0.12946428571428573,0.06696428571428571,0.8482142857142857,0.9776785714285714,0.4888392857142857,0.5223214285714286,0.71875,0.9107142857142857,8
6,hornbill,./Data/hornbill/2.jpg,./Data/hornbill/2.png,0.21428571428571427,0.026785714285714284,0.7544642857142857,0.96875,0.484375,0.49776785714285715,0.5401785714285714,0.9419642857142857,8
7,hornbill,./Data/hornbill/8.jpg,./Data/hornbill/8.png,0.08035714285714286,0.11160714285714286,0.8705357142857143,0.8303571428571429,0.4754464285714286,0.4709821428571429,0.7901785714285714,0.71875,8
8,hornbill,./Data/hornbill/9.jpg,./Data/hornbill/9.png,0.39285714285714285,0.10714285714285714,0.7767857142857143,0.9330357142857143,0.5848214285714286,0.5200892857142857,0.38392857142857145,0.8258928571428572,8
9,hornbill,./Data/hornbill/5.jpg,./Data/hornbill/5.png,0.017857142857142856,0.18303571428571427,0.8705357142857143,0.7991071428571429,0.4441964285714286,0.4910714285714286,0.8526785714285714,0.6160714285714286,8
0,leather_shoes,./Data/leather_shoes/4.jpg,./Data/leather_shoes/4.png,0.29464285714285715,0.3080357142857143,0.9107142857142857,0.6875,0.6026785714285714,0.49776785714285715,0.6160714285714286,0.3794642857142857,9
1,leather_shoes,./Data/leather_shoes/10.jpg,./Data/leather_shoes/10.png,0.29464285714285715,0.24553571428571427,0.71875,0.8839285714285714,0.5066964285714286,0.5647321428571428,0.42410714285714285,0.6383928571428571,9
2,leather_shoes,./Data/leather_shoes/6.jpg,./Data/leather_shoes/6.png,0.33035714285714285,0.19642857142857142,0.7633928571428571,0.9196428571428571,0.546875,0.5580357142857143,0.43303571428571425,0.7232142857142857,9
3,leather_shoes,./Data/leather_shoes/7.jpg,./Data/leather_shoes/7.png,0.05803571428571429,0.05803571428571429,0.7767857142857143,0.9419642857142857,0.4174107142857143,0.5,0.71875,0.8839285714285714,9
4,leather_shoes,./Data/leather_shoes/3.jpg,./Data/leather_shoes/3.png,0.08035714285714286,0.11607142857142858,0.8883928571428571,0.9508928571428571,0.484375,0.5334821428571428,0.8080357142857142,0.8348214285714285,9
5,leather_shoes,./Data/leather_shoes/1.jpg,./Data/leather_shoes/1.png,0.07142857142857142,0.14285714285714285,0.9955357142857143,0.8169642857142857,0.5334821428571429,0.4799107142857143,0.9241071428571429,0.6741071428571428,9
6,leather_shoes,./Data/leather_shoes/2.jpg,./Data/leather_shoes/2.png,0.09821428571428571,0.04017857142857143,0.9732142857142857,0.9955357142857143,0.5357142857142857,0.5178571428571429,0.875,0.9553571428571429,9
7,leather_shoes,./Data/leather_shoes/8.jpg,./Data/leather_shoes/8.png,0.13839285714285715,0.022321428571428572,0.9017857142857143,0.8883928571428571,0.5200892857142857,0.45535714285714285,0.7633928571428572,0.8660714285714285,9
8,leather_shoes,./Data/leather_shoes/9.jpg,./Data/leather_shoes/9.png,0.03571428571428571,0.14285714285714285,0.9732142857142857,0.9553571428571429,0.5044642857142857,0.5491071428571429,0.9375,0.8125,9
9,leather_shoes,./Data/leather_shoes/5.jpg,./Data/leather_shoes/5.png,0.16517857142857142,0.23214285714285715,0.78125,0.8705357142857143,0.4732142857142857,0.5513392857142857,0.6160714285714286,0.6383928571428572,9
0,toothpaste,./Data/toothpaste/4.jpg,./Data/toothpaste/4.png,0.42857142857142855,0.05357142857142857,0.7053571428571429,0.9598214285714286,0.5669642857142857,0.5066964285714286,0.27678571428571436,0.90625,10
1,toothpaste,./Data/toothpaste/10.jpg,./Data/toothpaste/10.png,0.022321428571428572,0.45089285714285715,0.7678571428571429,0.9598214285714286,0.39508928571428575,0.7053571428571429,0.7455357142857143,0.5089285714285714,10
2,toothpaste,./Data/toothpaste/6.jpg,./Data/toothpaste/6.png,0.2767857142857143,0.049107142857142856,0.7008928571428571,0.9776785714285714,0.4888392857142857,0.5133928571428571,0.4241071428571428,0.9285714285714285,10
3,toothpaste,./Data/toothpaste/7.jpg,./Data/toothpaste/7.png,0.5267857142857143,0.08035714285714286,0.7991071428571429,0.9642857142857143,0.6629464285714286,0.5223214285714286,0.2723214285714286,0.8839285714285714,10
4,toothpaste,./Data/toothpaste/3.jpg,./Data/toothpaste/3.png,0.08035714285714286,0.4375,0.9732142857142857,0.7053571428571429,0.5267857142857143,0.5714285714285714,0.8928571428571428,0.2678571428571429,10
5,toothpaste,./Data/toothpaste/1.jpg,./Data/toothpaste/1.png,0.375,0.5,0.9955357142857143,0.9107142857142857,0.6852678571428572,0.7053571428571428,0.6205357142857143,0.4107142857142857,10
6,toothpaste,./Data/toothpaste/2.jpg,./Data/toothpaste/2.png,0.07142857142857142,0.29910714285714285,0.9553571428571429,0.6875,0.5133928571428572,0.4933035714285714,0.8839285714285715,0.38839285714285715,10
7,toothpaste,./Data/toothpaste/8.jpg,./Data/toothpaste/8.png,0.0,0.10714285714285714,0.9955357142857143,0.9821428571428571,0.49776785714285715,0.5446428571428571,0.9955357142857143,0.875,10
8,toothpaste,./Data/toothpaste/9.jpg,./Data/toothpaste/9.png,0.13839285714285715,0.5044642857142857,0.8839285714285714,0.8303571428571429,0.5111607142857143,0.6674107142857143,0.7455357142857142,0.3258928571428572,10
9,toothpaste,./Data/toothpaste/5.jpg,./Data/toothpaste/5.png,0.17857142857142858,0.09375,0.8928571428571429,0.9955357142857143,0.5357142857142857,0.5446428571428572,0.7142857142857143,0.9017857142857143,10
0,french_fries,./Data/french_fries/4.jpg,./Data/french_fries/4.png,0.17410714285714285,0.26339285714285715,0.7946428571428571,0.7410714285714286,0.484375,0.5022321428571429,0.6205357142857142,0.47767857142857145,11
1,french_fries,./Data/french_fries/10.jpg,./Data/french_fries/10.png,0.0,0.35267857142857145,0.9285714285714286,0.9955357142857143,0.4642857142857143,0.6741071428571429,0.9285714285714286,0.6428571428571428,11
2,french_fries,./Data/french_fries/6.jpg,./Data/french_fries/6.png,0.125,0.29464285714285715,0.7410714285714286,0.9642857142857143,0.4330357142857143,0.6294642857142857,0.6160714285714286,0.6696428571428572,11
3,french_fries,./Data/french_fries/7.jpg,./Data/french_fries/7.png,0.2857142857142857,0.10714285714285714,0.9107142857142857,0.8794642857142857,0.5982142857142857,0.4933035714285714,0.625,0.7723214285714286,11
4,french_fries,./Data/french_fries/3.jpg,./Data/french_fries/3.png,0.11607142857142858,0.16517857142857142,0.8392857142857143,0.8125,0.47767857142857145,0.4888392857142857,0.7232142857142857,0.6473214285714286,11
5,french_fries,./Data/french_fries/1.jpg,./Data/french_fries/1.png,0.3392857142857143,0.13839285714285715,0.9642857142857143,0.7901785714285714,0.6517857142857143,0.4642857142857143,0.625,0.6517857142857142,11
6,french_fries,./Data/french_fries/2.jpg,./Data/french_fries/2.png,0.3080357142857143,0.4017857142857143,0.7455357142857143,0.8482142857142857,0.5267857142857143,0.625,0.4375,0.4464285714285714,11
7,french_fries,./Data/french_fries/8.jpg,./Data/french_fries/8.png,0.3080357142857143,0.39285714285714285,0.8214285714285714,0.8214285714285714,0.5647321428571428,0.6071428571428571,0.5133928571428571,0.42857142857142855,11
8,french_fries,./Data/french_fries/9.jpg,./Data/french_fries/9.png,0.19196428571428573,0.14732142857142858,0.7991071428571429,0.9196428571428571,0.4955357142857143,0.5334821428571428,0.6071428571428572,0.7723214285714285,11
9,french_fries,./Data/french_fries/5.jpg,./Data/french_fries/5.png,0.18303571428571427,0.14732142857142858,0.7410714285714286,0.7098214285714286,0.46205357142857145,0.4285714285714286,0.5580357142857143,0.5625,11
0,pepitas,./Data/pepitas/4.jpg,./Data/pepitas/4.png,0.0,0.35714285714285715,0.7410714285714286,0.7232142857142857,0.3705357142857143,0.5401785714285714,0.7410714285714286,0.36607142857142855,12
1,pepitas,./Data/pepitas/10.jpg,./Data/pepitas/10.png,0.20535714285714285,0.22767857142857142,0.7053571428571429,0.9151785714285714,0.4553571428571429,0.5714285714285714,0.5,0.6875,12
2,pepitas,./Data/pepitas/6.jpg,./Data/pepitas/6.png,0.07142857142857142,0.29910714285714285,0.9375,0.8482142857142857,0.5044642857142857,0.5736607142857143,0.8660714285714286,0.5491071428571428,12
3,pepitas,./Data/pepitas/7.jpg,./Data/pepitas/7.png,0.4107142857142857,0.22321428571428573,0.625,0.8080357142857143,0.5178571428571428,0.515625,0.2142857142857143,0.5848214285714286,12
4,pepitas,./Data/pepitas/3.jpg,./Data/pepitas/3.png,0.35714285714285715,0.32142857142857145,0.9285714285714286,0.8125,0.6428571428571429,0.5669642857142857,0.5714285714285714,0.49107142857142855,12
5,pepitas,./Data/pepitas/1.jpg,./Data/pepitas/1.png,0.125,0.13392857142857142,0.9955357142857143,0.8660714285714286,0.5602678571428572,0.5,0.8705357142857143,0.7321428571428572,12
6,pepitas,./Data/pepitas/2.jpg,./Data/pepitas/2.png,0.09375,0.42410714285714285,0.9151785714285714,0.8794642857142857,0.5044642857142857,0.6517857142857143,0.8214285714285714,0.45535714285714285,12
7,pepitas,./Data/pepitas/8.jpg,./Data/pepitas/8.png,0.11607142857142858,0.13839285714285715,0.8125,0.8839285714285714,0.4642857142857143,0.5111607142857143,0.6964285714285714,0.7455357142857142,12
8,pepitas,./Data/pepitas/9.jpg,./Data/pepitas/9.png,0.22767857142857142,0.40625,0.6741071428571429,0.6517857142857143,0.45089285714285715,0.5290178571428572,0.4464285714285715,0.2455357142857143,12
9,pepitas,./Data/pepitas/5.jpg,./Data/pepitas/5.png,0.13839285714285715,0.35267857142857145,0.8794642857142857,0.7723214285714286,0.5089285714285714,0.5625,0.7410714285714286,0.41964285714285715,12
0,panda,./Data/panda/4.jpg,./Data/panda/4.png,0.16517857142857142,0.0,0.8392857142857143,0.9955357142857143,0.5022321428571429,0.49776785714285715,0.6741071428571429,0.9955357142857143,13
1,panda,./Data/panda/10.jpg,./Data/panda/10.png,0.36160714285714285,0.013392857142857142,0.8169642857142857,0.9955357142857143,0.5892857142857143,0.5044642857142857,0.45535714285714285,0.9821428571428572,13
2,panda,./Data/panda/6.jpg,./Data/panda/6.png,0.3125,0.09375,0.9553571428571429,0.9285714285714286,0.6339285714285714,0.5111607142857143,0.6428571428571429,0.8348214285714286,13
